mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_tfidf__word__min_df,param_tfidf__word__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
41.40445094108581,1.1586472090048485,5.442713594436645,0.8850742515888642,4,balanced,2,"(1, 2)","{'clf__C': 4, 'clf__class_weight': 'balanced', 'tfidf__word__min_df': 2, 'tfidf__word__ngram_range': (1, 2)}",0.6510159070778961,0.6689904470717024,0.6605522475029352,0.57205629995134,0.6739791455361819,0.6453188094280111,0.03745309372161861,1
20.45101914405823,0.6323936512217059,3.384334897994995,0.32094266984203823,1,balanced,2,"(1, 2)","{'clf__C': 1, 'clf__class_weight': 'balanced', 'tfidf__word__min_df': 2, 'tfidf__word__ngram_range': (1, 2)}",0.672416618986741,0.671208547582534,0.6513376403664136,0.5714047885437129,0.6599419122853936,0.645261901552959,0.037730352710747,2
41.98873910903931,3.3891735888948946,5.727154970169067,0.24291364467164725,2,balanced,2,"(1, 2)","{'clf__C': 2, 'clf__class_weight': 'balanced', 'tfidf__word__min_df': 2, 'tfidf__word__ngram_range': (1, 2)}",0.6505178698511497,0.6767560946992686,0.6605522475029352,0.5714047885437129,0.6623368004260947,0.6443135602046322,0.03740383039471283,3
46.235003566741945,2.449867316291883,6.49503083229065,0.4375066518960626,2,balanced,2,"(1, 3)","{'clf__C': 2, 'clf__class_weight': 'balanced', 'tfidf__word__min_df': 2, 'tfidf__word__ngram_range': (1, 3)}",0.6535446237569871,0.6870178012121871,0.6535641815116963,0.5714047885437129,0.6515249748340134,0.6434112739717193,0.038361599582749574,4
23.220884847640992,0.5799809040293517,3.5648919582366942,0.18697556765684775,1,balanced,2,"(1, 3)","{'clf__C': 1, 'clf__class_weight': 'balanced', 'tfidf__word__min_df': 2, 'tfidf__word__ngram_range': (1, 3)}",0.6577309913734817,0.6844764357620869,0.6496547973618366,0.5712425819118022,0.6489622038236617,0.6424134020465738,0.037853764931968674,5
43.49117512702942,3.3470892899848335,6.210480546951294,0.8503181386915801,2,balanced,1,"(1, 2)","{'clf__C': 2, 'clf__class_weight': 'balanced', 'tfidf__word__min_df': 1, 'tfidf__word__ngram_range': (1, 2)}",0.6656053816241966,0.6414311597915137,0.6561125513965724,0.5714047885437129,0.6599419122853936,0.6388991587282777,0.0346820464845436,6
44.7327018737793,1.7562335832700864,5.7617110252380375,0.30090411307781206,4,,2,"(1, 2)","{'clf__C': 4, 'clf__class_weight': None, 'tfidf__word__min_df': 2, 'tfidf__word__ngram_range': (1, 2)}",0.6267113111018732,0.6689904470717024,0.6508370703458977,0.5696978072419701,0.6739791455361819,0.6380431562595251,0.03797976255471684,7
21.745960569381715,0.6051077443070926,3.099131536483765,0.19917370842990803,1,balanced,1,"(1, 2)","{'clf__C': 1, 'clf__class_weight': 'balanced', 'tfidf__word__min_df': 1, 'tfidf__word__ngram_range': (1, 2)}",0.6629172095811858,0.6422292281898218,0.6540080930709978,0.5712425819118022,0.657233169445886,0.6375260564399386,0.03382412545036466,8
29.433600521087648,1.258318062388084,3.620054817199707,0.3414154197960456,1,balanced,1,"(1, 3)","{'clf__C': 1, 'clf__class_weight': 'balanced', 'tfidf__word__min_df': 1, 'tfidf__word__ngram_range': (1, 3)}",0.6375961349994385,0.6683858438828421,0.6354324383940754,0.5685011558475445,0.6626115850467037,0.6345054316341209,0.035510039157203875,9
44.62191886901856,1.8834323239639694,4.938894271850586,0.7398441470341427,4,balanced,2,"(1, 3)","{'clf__C': 4, 'clf__class_weight': 'balanced', 'tfidf__word__min_df': 2, 'tfidf__word__ngram_range': (1, 3)}",0.6233479785280143,0.6761241715251282,0.6535641815116963,0.5751810713652818,0.6299704876545261,0.6316375781169293,0.03381912694334671,10
51.096106719970706,2.2098989624658203,6.300096654891968,0.2726825420129378,4,,2,"(1, 3)","{'clf__C': 4, 'clf__class_weight': None, 'tfidf__word__min_df': 2, 'tfidf__word__ngram_range': (1, 3)}",0.6292365081861825,0.6761241715251282,0.6354324383940754,0.5751810713652818,0.6406328145481964,0.6313214008037729,0.032456046237914545,11
46.709260892868045,1.5192976062370924,5.830607843399048,0.17281288911283696,4,balanced,1,"(1, 2)","{'clf__C': 4, 'clf__class_weight': 'balanced', 'tfidf__word__min_df': 1, 'tfidf__word__ngram_range': (1, 2)}",0.6450041996987698,0.6434658408880006,0.6379808082789516,0.5696978072419701,0.6599419122853936,0.6312181136786172,0.0316088650168573,12
63.18826279640198,2.2716367619964637,6.398890686035156,0.5033451568296821,2,balanced,1,"(1, 3)","{'clf__C': 2, 'clf__class_weight': 'balanced', 'tfidf__word__min_df': 1, 'tfidf__word__ngram_range': (1, 3)}",0.634902414876427,0.6810132979770374,0.6354324383940754,0.5576157733612847,0.6410570978672165,0.6300042044952081,0.0400440687741924,13
38.88541941642761,1.9553463582318662,5.471595621109008,0.10109605963513432,2,,2,"(1, 2)","{'clf__C': 2, 'clf__class_weight': None, 'tfidf__word__min_df': 2, 'tfidf__word__ngram_range': (1, 2)}",0.6260320495866688,0.666591473739583,0.64297272993754,0.563541344656936,0.6493542483306395,0.6296983692502736,0.03553549548228062,14
43.979603338241574,0.5306602151429664,6.7755622386932375,1.6570072744154816,2,,2,"(1, 3)","{'clf__C': 2, 'clf__class_weight': None, 'tfidf__word__min_df': 2, 'tfidf__word__ngram_range': (1, 3)}",0.6313935025198637,0.6841422453030094,0.6354324383940754,0.5724416324416324,0.6244675133022499,0.6295754663921661,0.035511994885541305,15
