,macro_f1,weighted_f1,accuracy,macro_precision,macro_recall,inference_time_seconds,peak_memory_mb,macro_f1_ci95,n_parameters
nb,0.630370956070568,0.8022740439392664,0.80625,0.7628738503738504,0.5955171659060272,0.32764697074890137,1.4229135513305664,"[0.5199812547391062, 0.7132909499698142]",
svm,0.6923103649042616,0.8316815944522812,0.8375,0.8116994935393302,0.6518469871065381,5.016364097595215,35.93483638763428,"[0.5827053114858542, 0.7713434656838232]",
transformer,0.7070844130503966,0.8349719552473809,0.8375,0.7839986596677325,0.6899718730762516,65.44284892082214,0.0,"[0.6044723504527834, 0.7773677564916506]",108319500
