mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_tfidf__max_df,param_tfidf__min_df,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6746680259704589,0.021454937404253648,0.1798556327819824,0.03584962220736444,0.02,0.95,5,"(1, 1)","{'clf__alpha': 0.02, 'tfidf__max_df': 0.95, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 1)}",0.6012215404025811,0.559893438377045,0.5610844108377003,0.5282788337100528,0.5736843072790622,0.5648325061212883,0.02356747663559623,1
0.6412634372711181,0.01895539769836395,0.15283470153808593,0.011254970300925855,0.02,0.9,5,"(1, 1)","{'clf__alpha': 0.02, 'tfidf__max_df': 0.9, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 1)}",0.5951508080160592,0.5532121609808042,0.5610844108377003,0.5243662672974864,0.5736843072790622,0.5614995908822225,0.023360690561492627,2
2.95359411239624,0.25957731347658075,0.3578749656677246,0.025952402919488717,0.02,0.95,5,"(1, 2)","{'clf__alpha': 0.02, 'tfidf__max_df': 0.95, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",0.5857953765320981,0.5560227326255395,0.5658511653183204,0.5451046793539035,0.5454207385005962,0.5596389384660916,0.0151606718693115,3
1.7004528999328614,0.028222166227956383,0.33110918998718264,0.012652434683764431,0.02,0.9,5,"(1, 2)","{'clf__alpha': 0.02, 'tfidf__max_df': 0.9, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",0.5857953765320981,0.5560227326255395,0.5658511653183204,0.5450230959894274,0.5454207385005962,0.5596226217931963,0.01517634138939969,4
0.6580106258392334,0.024366836120191717,0.15060291290283204,0.006957691741562064,0.02,0.95,3,"(1, 1)","{'clf__alpha': 0.02, 'tfidf__max_df': 0.95, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.5968407442495979,0.5430686283268779,0.5725708295806701,0.5461267475002123,0.5390706699721283,0.5595355239258973,0.022051588787047986,5
0.6603562355041503,0.01873057597943569,0.1601553440093994,0.012352383929728764,0.02,0.95,2,"(1, 1)","{'clf__alpha': 0.02, 'tfidf__max_df': 0.95, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.6026538408611503,0.5543544873344107,0.5907476294840425,0.5318666860981344,0.5172160349275099,0.5593677357410496,0.032913799234706546,6
0.7531625270843506,0.042729051250925534,0.18788132667541504,0.025589425205740767,0.02,0.9,2,"(1, 1)","{'clf__alpha': 0.02, 'tfidf__max_df': 0.9, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.6026538408611503,0.5512515960736247,0.5878593526571467,0.5318666860981344,0.5172160349275099,0.5581695021235132,0.03248761501861429,7
0.7177700996398926,0.07435685073338208,0.16170134544372558,0.020481348074410183,0.02,0.9,3,"(1, 1)","{'clf__alpha': 0.02, 'tfidf__max_df': 0.9, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.587606557383832,0.5407594791427288,0.5718490397963804,0.5461267475002123,0.5390706699721283,0.5570824987590564,0.01929074555545226,8
0.6894618988037109,0.025599804290571015,0.16753792762756348,0.005800569763907489,0.05,0.9,5,"(1, 1)","{'clf__alpha': 0.05, 'tfidf__max_df': 0.9, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 1)}",0.5973256920238345,0.5232790705831314,0.5489543739973146,0.5239626824957644,0.5364888658869487,0.5460021369973986,0.027332766537886306,9
0.7195852279663086,0.023317810367000383,0.1705395221710205,0.005773499840419248,0.05,0.95,5,"(1, 1)","{'clf__alpha': 0.05, 'tfidf__max_df': 0.95, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 1)}",0.5973256920238345,0.520993315726174,0.5304756305185712,0.5239626824957644,0.5364888658869487,0.5418492373302585,0.02825111625790592,10
0.6999319076538086,0.018308249917103836,0.16542525291442872,0.007129848561459392,0.05,0.9,3,"(1, 1)","{'clf__alpha': 0.05, 'tfidf__max_df': 0.9, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.5636417865932327,0.5199488386301723,0.5061604762910156,0.5236238898122313,0.5331493268024949,0.5293048636258293,0.01923161723974438,11
1.8328540325164795,0.0413415322584994,0.949777364730835,0.5007948209888624,0.02,0.95,3,"(1, 2)","{'clf__alpha': 0.02, 'tfidf__max_df': 0.95, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.5867143213642644,0.5324209171984476,0.5409981555975539,0.4991529182012,0.47508115073969887,0.526873492620233,0.03811058050473031,12
1.7766107082366944,0.03952099225674518,0.33251566886901857,0.012592910282839967,0.02,0.9,3,"(1, 2)","{'clf__alpha': 0.02, 'tfidf__max_df': 0.9, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.5867143213642644,0.5324209171984476,0.5400296778282975,0.4991529182012,0.47508115073969887,0.5266797970663817,0.038040697278587665,13
0.7289534568786621,0.014167112057997672,0.1715083122253418,0.012355784814663836,0.05,0.95,3,"(1, 1)","{'clf__alpha': 0.05, 'tfidf__max_df': 0.95, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.5600954742774568,0.4958111548914195,0.5061604762910156,0.5236238898122313,0.48851619843480515,0.5148414387413857,0.025517007147336117,14
1.9385081768035888,0.050085750322672866,0.3562039375305176,0.009944718180924246,0.02,0.95,2,"(1, 2)","{'clf__alpha': 0.02, 'tfidf__max_df': 0.95, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.5476158770858063,0.5015708118948506,0.49257290903715956,0.49170824620040815,0.4238356685130879,0.4914607025462625,0.03957287315253761,15
2.1233770847320557,0.04118272292265689,0.3795947551727295,0.05808292949942782,0.02,0.9,2,"(1, 2)","{'clf__alpha': 0.02, 'tfidf__max_df': 0.9, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.5476158770858063,0.5009248698673276,0.49260946470751804,0.49170824620040815,0.4238356685130879,0.49133882527482964,0.03954093064320349,16
0.868129301071167,0.12039371198387576,0.17569689750671386,0.008478917778484576,0.05,0.9,2,"(1, 1)","{'clf__alpha': 0.05, 'tfidf__max_df': 0.9, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.5435415425923268,0.464791452740455,0.4603142595937539,0.4571872628358166,0.44805430054096673,0.4747777636606639,0.0348165071454044,17
0.724265193939209,0.02152580649608006,0.16890420913696289,0.010942704114012868,0.05,0.95,2,"(1, 1)","{'clf__alpha': 0.05, 'tfidf__max_df': 0.95, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.5435415425923268,0.456776370350464,0.4291160679823261,0.4571872628358166,0.4421448221250945,0.46575321317720564,0.04026070029615147,18
1.9094174385070801,0.043325851029819486,0.37370786666870115,0.018151341462977748,0.05,0.95,5,"(1, 2)","{'clf__alpha': 0.05, 'tfidf__max_df': 0.95, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",0.4822455035403237,0.46521388846841866,0.46916990624084437,0.4371080467822734,0.42909531520457245,0.45656653204728653,0.020131228450868576,19
1.857482099533081,0.0444471798224727,0.35997905731201174,0.006351048281856958,0.05,0.9,5,"(1, 2)","{'clf__alpha': 0.05, 'tfidf__max_df': 0.9, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",0.46588844287946557,0.46521388846841866,0.46916990624084437,0.4371080467822734,0.4343164454257027,0.45433934595934095,0.01529324720146155,20
